Time;Zone;Hen;PackID
2020-02-15T09:34:05Z;Tier_2;Hen_68;11_sp
2020-02-15T09:34:09Z;Tier_2;Hen_10;12_ps
2020-02-15T09:34:09Z;Tier_2;Hen_33;12_ws
2020-02-15T09:34:16Z;Tier_2;Hen_103;11_wp
2020-02-15T09:34:25Z;Tier_2;Hen_84;10_ps
2020-02-15T09:34:31Z;Litter;Hen_95;12_sb
2020-02-15T09:34:35Z;Tier_4;Hen_96;12_wg
2020-02-15T09:34:36Z;Tier_2;Hen_17;10_pp
2020-02-15T09:34:37Z;Tier_4;Hen_95;12_sb
2020-02-15T09:34:38Z;Tier_2;Hen_52;11_bb
2020-02-15T09:34:44Z;Tier_4;Hen_34;12_gg
2020-02-15T09:34:45Z;Litter;Hen_34;12_gg
2020-02-15T09:34:52Z;Tier_2;Hen_65;12_sg
2020-02-15T09:34:54Z;Tier_4;Hen_69;12_gp
2020-02-15T09:34:55Z;Tier_2;Hen_66;12_pb
2020-02-15T09:35:04Z;Tier_2;Hen_69;12_gp
2020-02-15T09:35:10Z;Ramp_Nestbox;Hen_17;10_pp
2020-02-15T09:35:15Z;Tier_2;Hen_82;11_ps
2020-02-15T09:35:19Z;Litter;Hen_82;11_ps
2020-02-15T09:35:29Z;Tier_2;Hen_54;10_bs
2020-02-15T09:35:32Z;Tier_4;Hen_69;12_gp
2020-02-15T09:35:34Z;Litter;Hen_84;10_ps
2020-02-15T09:35:38Z;Litter;Hen_54;10_bs
2020-02-15T09:35:44Z;Tier_2;Hen_69;12_gp
2020-02-15T09:35:53Z;Ramp_Nestbox;Hen_14;11_pp
2020-02-15T09:36:30Z;Tier_4;Hen_17;10_pp
2020-02-15T09:36:40Z;Ramp_Nestbox;Hen_75;12_bb
2020-02-15T09:36:42Z;Tier_4;Hen_75;12_bb
2020-02-15T09:36:50Z;Tier_2;Hen_100;10_bb
2020-02-15T09:36:51Z;Litter;Hen_95;12_sb
2020-02-15T09:36:53Z;Litter;Hen_100;10_bb
2020-02-15T09:36:57Z;Tier_2;Hen_57;12_wp
2020-02-15T09:37:13Z;Tier_2;Hen_61;12_sp
2020-02-15T09:37:19Z;Litter;Hen_33;12_ws
2020-02-15T09:37:38Z;Litter;Hen_96;12_wg
2020-02-15T09:37:48Z;Tier_2;Hen_94;10_sg
2020-02-15T09:37:49Z;Tier_4;Hen_33;12_ws
2020-02-15T09:37:53Z;Tier_4;Hen_45;11_ss
2020-02-15T09:37:57Z;Litter;Hen_45;11_ss
2020-02-15T09:38:00Z;Tier_4;Hen_96;12_wg
2020-02-15T09:38:35Z;Litter;Hen_96;12_wg
2020-02-15T09:38:36Z;Tier_4;Hen_96;12_wg
2020-02-15T09:38:59Z;Litter;Hen_57;12_wp
2020-02-15T09:39:02Z;Litter;Hen_33;12_ws
2020-02-15T09:39:09Z;Tier_4;Hen_33;12_ws
2020-02-15T09:39:14Z;Litter;Hen_33;12_ws
2020-02-15T09:39:16Z;Tier_2;Hen_14;11_pp
2020-02-15T09:39:16Z;Tier_2;Hen_28;11_gb
2020-02-15T09:39:23Z;Tier_4;Hen_33;12_ws
2020-02-15T09:39:23Z;Litter;Hen_96;12_wg
2020-02-15T09:39:46Z;Litter;Hen_33;12_ws
2020-02-15T09:39:46Z;Tier_2;Hen_36;11_sb
2020-02-15T09:39:56Z;Litter;Hen_61;12_sp
2020-02-15T09:40:15Z;Tier_4;Hen_57;12_wp
2020-02-15T09:40:30Z;Tier_2;Hen_96;12_wg
2020-02-15T09:40:55Z;Tier_2;Hen_44;11_sws
2020-02-15T09:41:19Z;Litter;Hen_96;12_wg
2020-02-15T09:41:25Z;Litter;Hen_57;12_wp
2020-02-15T09:41:27Z;Ramp_Nestbox;Hen_36;11_sb
2020-02-15T09:41:30Z;Tier_2;Hen_24;12_gb
2020-02-15T09:41:48Z;Tier_2;Hen_46;10_wp
2020-02-15T09:41:57Z;Tier_4;Hen_36;11_sb
2020-02-15T09:42:11Z;Tier_4;Hen_57;12_wp
2020-02-15T09:42:17Z;Tier_4;Hen_95;12_sb
2020-02-15T09:42:18Z;Litter;Hen_95;12_sb
